Scientific Name,English Name,Family,Feeding Path,Feeding Path Level,Calcium (mg/100g),Calcium L95,Calcium U95,Iron (mg/100g),Iron L95,Iron U95,Total Omega-3 PUFA (g/100g),Omega3 L95,Omega3 U95,Protein (g/100g),Protein L95,Protein U95,Selenium (μg/100g),Selenium L95,Selenium U95,Vitamin A (μg/100g),VitaminA L95,VitaminA U95,Zinc (mg/100g),Zinc L95,Zinc U95
Fistularia petimba,Red cornetfish,Fistulariidae,pelagic,species,"27.8","13.8","54.0","0.659","0.360","1.241","0.112","0.055","0.241","19","18","20","103","49","218","19.3","5.8","63.6","0.747","0.487","1.175"
Fistularia tabacaria,Cornetfish,Fistulariidae,pelagic,species,"30","15","56","0.698","0.386","1.265","0.103","0.050","0.216","18.7","17.5","20.0","109","53","237","17.2","5.0","56.8","0.87","0.57","1.33"
Galeocerdo cuvier,Tiger shark,Galeocerdonidae,benthic,species,"4.57","0.66","26.59","0.455","0.113","1.474","0.287","0.118","0.709","21.6","19.3","23.7","52.8","14.6","163.1","4.47","1.34","14.90","0.278","0.132","0.539"
Galeorhinus galeus,Tope shark,Triakidae,benthic,species,"8.56","1.46","48.15","0.465","0.128","1.502","0.18","0.11","0.30","20","18","22","44.2","13.5","139.5","13.1","4.2","44.7","0.409","0.194","0.769"
Gasterochisma melampus,Butterfly kingfish,Scombridae,pelagic,species,"28.4","15.9","50.2","1.3","0.8","2.2","0.397","0.256","0.622","22.7","20.5","24.6","35.7","20.8","64.7","11.5","4.4","31.5","0.443","0.319","0.627"
Gempylus serpens,Snake mackerel,Gempylidae,pelagic,species,"17.3","7.9","36.6","0.438","0.205","0.947","0.256","0.139","0.482","17.5","15.2","19.5","17.5","7.1","40.4","12.8","2.8","64.7","0.302","0.208","0.442"
Genidens barbus,White sea catfish,Ariidae,benthic,genus,"40.1","22.4","108.2","0.883","0.554","1.532","0.342","0.192","0.634","18.4","16.7","20.2","27.2","14.9","58.1","8.03","3.10","20.50","0.683","0.463","1.031"
Genidens genidens,Guri sea catfish,Ariidae,benthic,species,"81.9","42.2","233.9","1.15","0.72","2.11","0.462","0.249","0.869","18.3","16.6","20.1","25","13","50","11.3","4.4","30.8","0.817","0.547","1.239"
Genyatremus luteus,Torroto grunt,Haemulidae,benthic,species,"124","33","256","1.01","0.54","2.01","0.18","0.08","0.35","18.3","16.4","20.3","46.5","23.6","91.3","14.5","5.5","37.1","1.2","0.8","1.8"
Genypterus blacodes,Pink cusk-eel,Ophidiidae,benthic,species,"11.8","7.2","25.7","0.365","0.190","0.713","0.255","0.136","0.502","15.6","13.6","17.7","31.6","14.3","70.0","6.94","1.54","32.25","0.234","0.157","0.351"
Geophagus brasiliensis,Pearl cichlid,Cichlidae,benthic,species,"135","69","227","0.986","0.558","1.915","0.25","0.12","0.54","17.9","16.5","19.3","41.7","24.2","77.0","33.7","8.9","87.5","1.87","1.33","2.81"
Geophagus sveni,,Cichlidae,benthic,genus,"231","132","483","2.04","1.13","4.05","0.504","0.190","1.422","18.6","17.2","20.1","61.2","26.7","159.8","38.2","9.8","106.6","2.43","1.58","3.82"
Gephyroberyx darwinii,Darwin's slimehead,Trachichthyidae,pelagic,species,"24.4","10.0","119.6","0.646","0.308","1.494","0.319","0.117","0.902","16.9","15.5","18.4","54.7","19.5","151.2","24.7","4.9","138.9","0.632","0.395","1.045"
Gerres cinereus,Yellow fin mojarra,Gerreidae,benthic,species,"38.3","14.7","84.5","0.618","0.273","1.172","0.209","0.106","0.425","20.5","18.5","22.5","12.5","5.7","26.9","30.3","7.2","118.1","0.917","0.561","1.436"
Gillellus greyae,Arrow stargazer,Dactyloscopidae,pelagic,species,"121","59","205","0.704","0.398","1.214","0.116","0.064","0.207","18.4","17.3","19.5","28.2","11.5","62.7","184","59","590","1.86","1.19","2.68"
Ginglymostoma cirratum,Nurse shark,Ginglymostomatidae,benthic,species,"4.11","0.56","16.51","0.298","0.069","0.838","0.13","0.05","0.32","20.9","18.7","23.0","23","6","71","10.8","3.1","40.2","0.394","0.186","0.863"
Gnatholepis thompsoni,Goldspot goby,Gobiidae,benthic,species,"145","76","299","0.966","0.480","1.800","0.145","0.067","0.263","18","16","20","27","14","56","110","28","389","2.52","1.66","3.76"
Gnathophis mystax,Thinlip conger,Congridae,benthic,species,"41.5","10.4","118.8","0.952","0.331","3.887","0.363","0.165","0.986","18.4","15.5","21.2","37.2","7.8","101.1","9.08","2.59","31.39","0.617","0.320","1.190"
Gobiesox strumosus,Skilletfish,Gobiesocidae,benthic,genus,"111","55","238","0.659","0.356","1.188","0.136","0.070","0.256","17.8","16.5","19.0","20","8","49","247","71","812","2.37","1.51","3.45"
Gobioclinus guppyi,Mimic blenny,Labrisomidae,benthic,species,"77.8","30.5","154.2","0.726","0.384","1.348","0.142","0.072","0.274","19","18","20","11.7","4.7","27.3","87.7","24.6","318.3","1.38","0.81","2.16"
Gobionellus oceanicus,Highfin goby,Gobiidae,benthic,family,"242","124","519","1.26","0.71","2.26","0.254","0.110","0.478","17.9","16.1","19.4","36.5","19.4","75.5","31.7","10.2","82.7","1.96","1.38","2.83"
Gramma brasiliensis,Brazilian basslet,Grammatidae,pelagic,species,"158","78","296","0.885","0.501","1.565","0.1","0.1","0.2","18","17","19","21.2","9.1","49.9","327","99","1,095","2.24","1.43","3.33"
Guavina guavina,Guavina,Eleotridae,benthic,family,"150","68","329","1.07","0.54","2.08","0.234","0.134","0.407","18.4","16.6","20.0","30.3","14.7","65.3","47.8","13.3","149.0","1.31","0.88","1.97"
Gymnoscopelus nicholsi,Nichol's lanternfish,Myctophidae,benthic,species,"65.7","17.5","183.0","0.447","0.164","1.452","0.306","0.102","0.899","16.3","14.6","18.1","15.7","4.6","49.4","79.4","9.7","660.3","0.718","0.362","1.544"
Gymnothorax funebris,Green moray,Muraenidae,pelagic,species,"16","8","25","0.4","0.2","0.8","0.0823","null","null","18.7","16.4","21.3","60.6","27.2","130.1","56.2","13.7","218.4","0.72","0.49","1.05"
Gymnothorax miliaris,Goldentail moray,Muraenidae,benthic,species,"21.5","10.4","54.2","0.462","0.251","0.942","0.172","0.073","0.489","19.4","17.2","21.9","20","10","43","42","12","149","0.652","0.423","0.992"
Gymnothorax moringa,Spotted moray,Muraenidae,pelagic,species,"10.1","4.9","20.1","0.399","0.211","0.819","0.161","0.064","0.501","19.5","17.2","22.0","32.8","15.0","68.8","41.4","10.9","160.5","0.431","0.281","0.657"
Gymnothorax ocellatus,Ocellated moray,Muraenidae,pelagic,species,"25.8","14.0","53.6","0.415","0.245","0.796","0.13","0.06","0.36","19","17","22","52.5","27.0","102.7","58.1","17.2","212.8","0.997","0.697","1.396"
Gymnothorax polygonius,Polygon moray,Muraenidae,pelagic,species,"71","41","141","0.9","0.5","1.5","0.204","0.089","0.581","17.9","15.8","20.4","92.1","45.4","203.1","25.8","7.4","87.0","0.718","0.508","1.027"
Gymnothorax vicinus,Purplemouth moray,Muraenidae,pelagic,species,"13.6","6.8","27.0","0.444","0.240","0.866","0.167","0.069","0.494","19.4","17.2","21.9","27.6","13.1","57.0","49.7","14.0","179.5","0.486","0.319","0.734"
Gymnotus carapo,Banded knifefish,Gymnotidae,benthic,species,"51.3","21.6","112.8","0.975","0.510","1.782","0.33","0.13","0.83","18.3","17.1","19.6","25.6","9.8","63.4","21.8","6.9","67.1","1","1","1"
Gymnura altavela,Spiny butterfly ray,Gymnuridae,benthic,species,"10.2","1.9","47.1","0.577","0.144","1.583","0.252","0.073","0.785","23.6","20.2","26.5","28.7","8.6","87.8","3.86","1.23","11.42","0.398","0.197","0.731"
Gymnura micrura,Smooth butterfly ray,Gymnuridae,benthic,species,"7.1","1.0","38.4","0.314","0.067","0.935","0.234","0.058","0.711","21.9","18.4","24.9","8.65","2.29","27.32","6.06","1.19","29.85","0.395","0.196","0.738"
Haemulon album,White margate,Haemulidae,benthic,species,"27","10","49","0.501","0.272","0.902","0.118","0.067","0.188","19.3","17.5","21.1","40.5","24.4","65.1","52.4","21.5","124.2","1.01","0.72","1.45"
Haemulon aurolineatum,Tomtate grunt,Haemulidae,benthic,species,"29.1","9.4","83.4","0.535","0.250","1.070","0.229","0.108","0.441","20.2","18.3","22.1","10.6","4.7","23.9","92.8","28.4","309.6","0.773","0.465","1.274"
Haemulon bonariense,Black grunt,Haemulidae,benthic,species,"37","14","68","0.53","0.28","0.95","0.131","0.071","0.207","19.2","17.3","21.0","31.5","18.3","51.6","94.2","36.0","233.6","1.21","0.84","1.74"
Haemulon carbonarium,Caesar grunt,Haemulidae,benthic,species,"27.7","9.4","68.4","0.569","0.282","1.083","0.2","0.1","0.4","20.1","18.2","21.9","12.1","5.9","24.5","55.8","20.2","164.9","0.784","0.496","1.273"
Haemulon flavolineatum,French grunt,Haemulidae,benthic,species,"26.7","11.5","74.1","0.579","0.281","1.123","0.169","0.076","0.330","19.5","17.5","21.5","15.4","7.0","31.3","38","10","140","0.714","0.431","1.162"
Haemulon macrostomum,Spanish grunt,Haemulidae,benthic,species,"35.2","16.2","69.9","0.546","0.284","0.978","0.0924","null","null","18.8","16.9","20.8","30.3","17.1","55.1","51.9","16.0","161.6","1.04","0.67","1.58"
Haemulon melanurum,Cottonwick grunt,Haemulidae,benthic,species,"27.5","13.0","65.9","0.614","0.299","1.244","0.139","0.061","0.282","19","17","21","16.7","7.3","36.7","28.4","6.3","119.2","0.918","0.551","1.493"
Haemulon parra,Sailor's grunt,Haemulidae,pelagic,species,"21.8","9.8","59.1","0.531","0.258","1.032","0.148","0.067","0.287","19.6","17.6","21.6","14.3","6.4","29.5","34.6","9.2","127.5","0.681","0.413","1.102"
Haemulon plumierii,White grunt,Haemulidae,benthic,species,"18.3","6.7","44.4","0.473","0.231","0.908","0.187","0.092","0.339","20","18","22","14.4","6.7","29.7","57.2","19.6","171.8","0.754","0.474","1.170"
Haemulon sciurus,Bluestriped grunt,Haemulidae,benthic,species,"24.7","8.7","58.5","0.564","0.281","1.061","0.192","0.095","0.353","20.1","18.2","21.9","13.8","6.9","27.4","44.2","16.5","127.4","0.756","0.485","1.219"
Haemulon steindachneri,Chere-chere grunt,Haemulidae,benthic,species,"46.7","16.0","86.1","0.58","0.31","1.03","0.145","0.078","0.231","19.3","17.4","21.1","29.2","17.4","47.9","101","41","245","1.2","0.8","1.8"
Haemulon striatum,Striped grunt,Haemulidae,pelagic,species,"34.2","13.8","82.1","0.663","0.314","1.363","0.141","0.067","0.284","19.2","17.2","21.1","17.4","7.6","38.1","82.8","27.5","263.2","0.829","0.501","1.409"
Haemulopsis corvinaeformis,Roughneck grunt,Haemulidae,pelagic,species,"206","38","418","1.29","0.67","2.45","0.267","0.134","0.478","18.8","17.0","20.6","44.8","25.3","85.8","20.8","9.7","43.6","1.51","1.07","2.13"
Halichoeres bathyphilus,Greenband wrasse,Labridae,benthic,genus,"43.2","19.7","92.0","0.586","0.312","1.222","0.166","0.089","0.311","18.6","15.7","20.8","19.6","8.4","41.8","69.7","18.5","339.4","1","1","2"
Halichoeres bivittatus,Slippery dick,Labridae,benthic,species,"49.8","30.1","82.1","0.566","0.328","1.026","0.13","0.09","0.20","18.8","15.9","21.0","23.2","14.0","42.4","115","35","409","1.3","0.9","2.0"
Halichoeres brasiliensis,Brazilian wrasse,Labridae,benthic,species,"43.6","26.3","68.8","0.542","0.320","0.973","0.13","0.09","0.19","18.5","15.7","20.7","29.5","18.2","50.2","108","34","375","1.37","1.00","2.13"
Halichoeres cyanocephalus,Yellowcheek wrasse,Labridae,pelagic,species,"52.1","30.7","86.4","0.669","0.392","1.226","0.153","0.097","0.239","18.3","15.5","20.5","32","18","57","173","57","594","1.27","0.88","1.93"
Halichoeres dimidiatus,,Labridae,benthic,genus,"54.3","33.2","86.0","0.592","0.353","1.063","0.148","0.101","0.219","18.4","15.6","20.6","29.6","18.6","49.9","123","38","434","1.46","1.05","2.27"
Halichoeres garnoti,Yellowhead wrasse,Labridae,benthic,species,"67","41","115","0.656","0.387","1.181","0.171","0.112","0.263","18.5","15.7","20.7","29.4","17.9","50.9","136","42","509","1.47","1.02","2.26"
Halichoeres maculipinna,Clown wrasse,Labridae,benthic,species,"79.7","47.7","130.9","0.694","0.408","1.271","0.146","0.095","0.225","18.5","15.6","20.6","23.2","14.3","40.9","133","43","483","1.7","1.2","2.7"
Halichoeres poeyi,Blackear wrasse,Labridae,benthic,genus,"72.9","43.6","122.9","0.656","0.379","1.222","0.143","0.091","0.224","18.6","15.8","20.8","20.6","12.3","38.2","141","43","509","1.54","1.06","2.39"
Halichoeres radiatus,Puddingwife wrasse,Labridae,benthic,species,"36.5","21.1","60.5","0.503","0.295","0.906","0.144","0.095","0.215","18.8","16.0","21.0","32.8","19.4","53.6","84.9","25.1","324.7","1.43","1.04","2.28"
Halieutichthys aculeatus,Pancake batfish,Ogcocephalidae,benthic,family,"49","21","146","0.685","0.342","1.373","0.254","0.094","0.689","19.2","16.6","22.4","19.5","7.3","49.1","75.9","16.2","361.8","0.902","0.527","1.482"
Halosauropsis macrochir,Abyssal halosaur,Halosauridae,benthic,species,"12.2","3.5","43.0","0.426","0.139","1.080","0.308","0.110","0.875","2.36","0.00","6.23","24.3","6.7","82.0","5.02","0.95","23.69","0.317","0.164","0.626"
Harengula clupeola,False herring,Dorosomatidae,benthic,species,"64.6","30.1","127.7","1.01","0.50","1.87","0.39","0.21","0.71","20.1","18.8","21.4","14.5","6.7","31.4","65.7","20.2","208.6","1.1","0.7","1.8"
Harengula jaguana,Scaled herring,Dorosomatidae,pelagic,species,"86.2","44.5","151.8","0.898","0.473","1.548","0.231","0.131","0.402","19.5","18.2","20.7","25.5","13.4","49.8","123","40","348","1.56","1.06","2.25"
Harriotta raleighana,Pacific longnose chimaera,Rhinochimaeridae,benthic,species,"9.59","2.75","33.16","0.372","0.123","0.947","0.294","0.107","0.810","14.1","9.7","18.1","23.6","7.1","77.7","5.9","1.2","26.0","0.308","0.158","0.601"
Helicolenus dactylopterus,Blackbelly rosefish,Sebastidae,benthic,species,"19.7","7.7","55.8","0.376","0.168","0.881","0.561","0.214","1.568","16.7","14.9","18.7","21.7","8.2","65.8","14.6","3.1","72.9","0.495","0.271","0.819"
Hemanthias leptus,Longtail bass,Anthiadidae,pelagic,genus,"101","42","181","0.896","0.477","1.637","0.28","0.17","0.48","17.8","16.0","19.5","73","40","141","23.8","8.3","78.2","0.956","0.678","1.400"
Hemicaranx amblyrhynchus,Bluntnose jack,Carangidae,benthic,species,"95.3","52.2","207.3","1.65","0.91","3.08","0.401","0.248","0.679","20.1","18.9","21.3","19","10","37","10.8","3.5","32.7","0.719","0.503","1.061"
Hemiramphus balao,Balao halfbeak,Hemiramphidae,benthic,species,"79.2","27.5","252.2","0.831","0.317","2.037","0.188","0.071","0.570","19.3","16.7","21.8","15.3","5.2","42.4","27.3","5.6","150.6","1.02","0.54","1.80"
Hemiramphus brasiliensis,Ballyhoo halfbeak,Hemiramphidae,pelagic,species,"62.8","19.5","142.1","0.681","0.267","1.717","0.136","0.053","0.389","18.4","15.6","20.9","14.2","5.6","39.2","31.6","6.7","165.2","0.985","0.565","1.712"
Hemisorubim platyrhynchos,Porthole shovelnose catfish,Pimelodidae,pelagic,species,"49.7","19.0","141.3","1.31","0.68","2.81","0.455","0.195","1.071","18","16","20","36.7","14.8","83.4","28.3","9.5","87.8","0.674","0.449","0.997"
Heptranchias perlo,Sharpnose sevengill shark,Hexanchidae,pelagic,species,"6.22","1.20","32.26","0.307","0.073","1.001","0.237","0.104","0.562","18","16","20","17.2","5.4","50.5","10.3","2.3","49.1","0.275","0.132","0.524"
Heteroconger longissimus,Brown garden eel,Congridae,benthic,species,"50.1","27.7","80.0","0.645","0.389","1.083","0.108","0.050","0.301","18.2","15.2","21.2","42","23","86","89.5","25.3","302.6","1.12","0.78","1.55"
Heteropriacanthus cruentatus,Glasseye,Priacanthidae,benthic,species,"26.8","15.1","45.6","0.664","0.388","1.058","0.249","0.153","0.401","19.8","18.7","20.7","23.3","12.4","43.1","51.3","19.6","136.6","0.625","0.427","0.901"
Hexanchus griseus,Bluntnose sixgill shark,Hexanchidae,benthic,species,"8.75","2.27","47.99","0.664","0.163","2.072","0.24","0.10","0.59","19.5","17.5","21.5","79.6","24.5","261.1","3.68","0.99","13.90","0.324","0.155","0.615"
Hippocampus erectus,Lined seahorse,Syngnathidae,benthic,species,"47.1","22.2","120.5","0.62","0.33","1.15","0.186","0.102","0.333","18.5","17.4","19.7","15.1","6.8","35.8","78.1","23.5","255.2","0.985","0.614","1.530"
Hippocampus reidi,Longsnout seahorse,Syngnathidae,benthic,genus,"70.1","33.4","185.4","0.894","0.451","1.624","0.203","0.104","0.388","18.9","17.7","20.1","18.4","7.4","43.5","35.5","9.6","134.4","1.29","0.78","2.04"
Hirundichthys affinis,Fourwing flyingfish,Exocoetidae,pelagic,species,"396","116","1,186","3.76","1.31","9.56","0.379","0.103","1.550","17.8","15.4","20.2","69.1","18.9","235.1","3.98","0.62","29.25","1.31","0.68","2.45"
Hirundichthys rondeletii,Black wing flyingfish,Exocoetidae,pelagic,genus,"330","106","676","2.03","0.91","4.71","0.254","0.100","0.741","18","16","20","11.3","4.2","31.0","18.8","4.8","87.1","1.01","0.62","1.68"
Histrio histrio,Sargassumfish,Antennariidae,pelagic,species,"35.4","15.8","77.9","0.641","0.325","1.216","0.169","0.062","0.449","19.4","16.9","22.5","12","5","31","107","26","451","0.751","0.443","1.227"
Holacanthus ciliaris,Queen angelfish,Pomacanthidae,benthic,species,"23.7","10.8","43.4","0.489","0.281","0.849","0.146","0.085","0.251","19","18","20","17.6","8.3","37.8","35.8","8.6","142.1","0.792","0.515","1.183"
Holacanthus tricolor,Rock beauty,Pomacanthidae,benthic,species,"42.5","21.5","68.9","0.511","0.313","0.828","0.104","0.067","0.163","18.3","17.1","19.5","37","21","69","65","18","234","1.23","0.86","1.72"
Holocentrus adscensionis,Squirrelfish,Holocentridae,benthic,species,"21.1","9.3","54.2","0.544","0.219","1.093","0.231","0.095","0.539","19.2","18.0","20.3","23.2","12.7","44.7","30.6","10.8","90.6","0.719","0.446","1.132"
Holocentrus rufus,Longspine squirrelfish,Holocentridae,benthic,species,"60","28","192","0.729","0.304","1.443","0.149","0.062","0.348","18.8","17.6","19.9","37.2","22.2","66.9","49.5","19.4","131.3","1.26","0.82","1.95"
Hoplias malabaricus,Trahira,Erythrinidae,benthic,species,"61.6","25.6","142.6","1.1","0.6","2.5","0.324","0.133","0.812","18.2","16.2","20.4","90.5","35.2","203.6","65.9","24.2","183.1","1.1","0.8","1.5"
Hygophum hygomii,Bermuda lantern fish,Myctophidae,pelagic,species,"114","34","354","0.67","0.25","2.07","0.546","0.185","1.570","16.9","15.0","18.6","12.5","3.9","37.2","91.8","12.2","747.3","0.945","0.478","2.058"
Hymenocephalus italicus,Glasshead grenadier,Macrouridae,benthic,species,"61.2","28.1","133.5","0.77","0.40","1.46","0.262","0.122","0.517","16.7","14.9","18.5","49","19","110","29.1","7.2","127.8","1.02","0.66","1.63"
Hypanus americanus,Southern stingray,Dasyatidae,benthic,species,"5.41","0.65","23.15","0.355","0.083","0.950","0.145","0.039","0.464","24.6","21.7","27.3","13.9","4.1","41.6","19.8","6.4","64.3","0.592","0.287","1.207"
Hypanus say,Bluntnose stingray,Dasyatidae,benthic,species,"26.4","3.6","122.6","0.744","0.197","2.068","0.23","0.06","0.69","23.9","21.1","26.5","12.5","3.8","37.8","9.03","3.46","23.49","0.738","0.357","1.351"
Hypophthalmichthys molitrix,Silver carp,Xenocyprididae,pelagic,species,"37.9","16.1","116.8","1.37","0.69","2.65","0.306","0.176","0.554","17.3","16.1","18.5","30.1","16.4","59.9","8.45","2.15","37.85","0.445","0.263","0.805"
Hypophthalmichthys nobilis,Bighead carp,Xenocyprididae,benthic,species,"15.1","5.5","42.3","0.422","0.206","0.879","0.543","0.287","1.037","17.1","16.0","18.3","14.3","7.2","28.2","10.6","2.8","41.9","0.271","0.152","0.501"
Hypophthalmus edentatus,Highwaterman catfish,Pimelodidae,pelagic,species,"92","44","205","1.76","0.85","3.58","0.283","0.110","0.710","16.7","15.3","18.2","68.4","26.6","175.8","46.7","15.5","145.8","1.66","1.11","2.49"
Hypophthalmus marginatus,,Pimelodidae,pelagic,species,"123","47","262","1.75","0.91","3.55","0.296","0.122","0.707","16.9","15.6","18.2","92","41","225","31.3","11.3","86.8","1.3","0.9","1.9"
Hypophthalmus oremaculatus,,Pimelodidae,pelagic,genus,"121","42","276","1.46","0.77","3.07","0.34","0.14","0.85","16.8","15.5","18.2","67.8","26.1","156.0","90.9","28.5","278.8","1.4","0.9","2.1"
Hyporhamphus unifasciatus,Common halfbeak,Hemiramphidae,pelagic,species,"234","47","570","1.01","0.31","3.13","0.156","0.056","0.474","18.9","15.8","21.3","13.1","4.2","47.4","47.8","8.0","301.1","1.65","0.61","4.77"
Hyporthodus flavolimbatus,Yellowedge grouper,Epinephelidae,benthic,species,"38.8","17.1","74.5","0.782","0.423","1.466","0.369","0.233","0.616","18.6","16.7","20.2","45.9","24.7","85.6","8.59","2.99","27.81","0.533","0.386","0.778"
Hyporthodus nigritus,Warsaw grouper,Epinephelidae,benthic,species,"40.6","19.0","78.0","0.705","0.364","1.349","0.233","0.128","0.425","18.1","16.2","19.8","129","65","268","8.85","3.12","28.03","0.619","0.422","0.939"
Hyporthodus niveatus,Snowy grouper,Epinephelidae,benthic,species,"34.8","15.4","66.9","0.74","0.39","1.39","0.382","0.237","0.648","18.6","16.8","20.3","49.2","25.6","92.7","9.2","3.1","31.1","0.511","0.367","0.752"
Hypsoblennius invemar,Tessellated blenny,Blenniidae,benthic,genus,"640","371","1,528","1.96","1.09","3.53","0.141","0.066","0.294","17.4","16.3","18.4","29.1","12.9","68.4","36.5","11.1","125.9","2.95","1.96","4.39"
Ichthyococcus ovatus,Lightfish,Phosichthyidae,pelagic,species,"115","36","1,166","2.1","0.5","7.6","0.304","0.057","1.655","2.89","0.00","7.19","31.5","5.8","226.9","10.1","0.9","97.8","1.99","0.68","5.79"
Ictalurus punctatus,Channel catfish,Ictaluridae,benthic,species,"22.8","11.8","67.3","0.813","0.451","1.504","0.562","0.205","1.585","16.6","15.0","18.5","37.9","14.7","99.1","22.8","6.5","76.8","0.765","0.504","1.122"
Isogomphodon oxyrhynchus,Daggernose shark,Carcharhinidae,pelagic,species,"25.1","3.3","144.5","0.725","0.183","2.103","0.16","0.06","0.40","21.1","18.8","23.3","29.2","7.9","91.1","18.4","5.8","57.1","0.728","0.335","1.386"
Isopisthus parvipinnis,Bigtooth corvina,Sciaenidae,benthic,species,"209","116","401","1.19","0.63","2.15","0.269","0.138","0.466","19.3","18.1","20.4","43.8","22.6","88.2","23.3","8.3","72.3","1.4","1.0","2.0"
Istiophorus albicans,Atlantic sailfish,Istiophoridae,pelagic,species,"27.7","13.8","44.3","0.872","0.523","1.431","0.212","0.117","0.376","19.5","18.4","20.6","43.5","23.2","80.1","6.84","2.30","19.89","0.373","0.265","0.532"
Isurus oxyrinchus,Shortfin mako,Lamnidae,pelagic,species,"7.24","2.04","36.21","0.713","0.180","2.070","0.383","0.157","0.916","20.7","18.3","22.9","35.5","11.1","99.0","6.35","2.11","19.61","0.32","0.16","0.59"
Isurus paucus,Longfin mako,Lamnidae,pelagic,species,"6.65","1.91","34.35","0.692","0.170","2.038","0.407","0.162","0.985","20.6","18.2","22.8","41.2","12.8","118.0","6.83","2.21","22.76","0.328","0.165","0.612"
Kajikia albida,Atlantic white marlin,Istiophoridae,pelagic,species,"38","16","74","1.1","0.6","2.1","0.225","0.114","0.444","19.9","18.6","21.1","46.4","22.1","100.3","4.21","1.14","15.31","0.34","0.22","0.53"
Katsuwonus pelamis,Skipjack tuna,Scombridae,pelagic,species,"155","39","307","2.27","0.81","7.03","0.45","0.22","1.05","22.3","20.8","23.6","87.4","31.2","237.6","6.64","1.25","40.76","1.54","0.37","3.23"
Kaupichthys hyoproroides,False moray,Chlopsidae,benthic,family,"31.7","15.1","83.0","0.519","0.277","1.008","0.202","0.085","0.586","19.1","16.9","21.7","17.5","7.8","39.7","74.8","19.5","287.1","0.849","0.526","1.300"
Krobia guianensis,Krobia,Cichlidae,benthic,species,"198","109","385","1.67","0.93","3.21","0.548","0.199","1.553","18.3","16.9","19.7","61.9","24.4","166.0","67.8","16.5","199.0","2.49","1.66","3.77"
Kyphosus incisor,Yellow sea chub,Kyphosidae,benthic,species,"22.2","7.9","36.8","0.517","0.274","0.887","0.129","0.067","0.243","19.3","18.1","20.6","16.3","6.9","38.1","29.4","7.0","115.5","0.995","0.647","1.519"
Kyphosus sectatrix,Bermuda sea chub,Kyphosidae,benthic,species,"24.6","9.4","39.5","0.545","0.304","0.913","0.146","0.081","0.262","19.3","18.1","20.5","17.6","8.3","38.5","29.2","7.6","106.5","0.968","0.639","1.461"
Labrisomus cricota,Mock blenny,Labrisomidae,benthic,genus,"124","68","230","0.8","0.5","1.4","0.133","0.076","0.231","18.9","17.8","20.0","14.8","7.1","30.6","190","59","620","2.14","1.41","3.09"
Labrisomus nuchipinnis,Hairy blenny,Labrisomidae,benthic,species,"74.8","46.2","116.0","0.701","0.438","1.126","0.128","0.085","0.193","19.1","18.1","20.1","23.6","13.4","41.0","95.9","35.7","258.2","1.59","1.14","2.15"
Lactophrys bicaudalis,Spotted trunkfish,Ostraciidae,benthic,species,"23.4","9.0","73.1","0.605","0.299","1.439","0.158","0.081","0.301","19","17","21","20.2","8.6","44.3","22.2","5.5","97.3","0.693","0.441","1.110"
Lactophrys trigonus,Buffalo trunkfish,Ostraciidae,benthic,genus,"21.6","8.2","68.6","0.59","0.29","1.42","0.157","0.081","0.298","19.1","16.9","21.3","20.9","8.8","45.9","20.6","5.1","90.8","0.653","0.415","1.045"
Lactophrys triqueter,Smooth trunkfish,Ostraciidae,benthic,species,"23.4","9.0","74.8","0.603","0.295","1.440","0.16","0.08","0.31","19.1","16.8","21.2","19.9","8.5","43.9","23.1","5.8","100.8","0.683","0.436","1.092"
Lagocephalus laevigatus,Smooth puffer,Tetraodontidae,pelagic,species,"36.6","14.9","98.0","1.01","0.54","2.12","0.429","0.191","0.878","19.5","17.4","21.9","28.5","14.1","56.2","9.02","3.40","24.30","0.688","0.482","0.972"
Lagocephalus lagocephalus,Oceanic puffer,Tetraodontidae,pelagic,species,"41","14","94","0.904","0.498","2.058","0.406","0.186","0.815","18","16","20","44.2","23.0","98.9","22","8","61","0.628","0.430","0.889"
Lamna nasus,Porbeagle,Lamnidae,pelagic,species,"2.77","0.73","15.82","0.301","0.075","1.026","0.387","0.159","0.924","19.2","16.9","21.6","16","5","47","6.86","1.47","34.61","0.202","0.100","0.381"
Lampanyctus pusillus,Pygmy lanternfish,Myctophidae,pelagic,species,"188","53","558","0.733","0.265","2.361","0.366","0.124","1.030","16.5","14.6","18.3","11.8","3.5","37.5","105","13","821","1.09","0.54","2.38"
Lampris guttatus,Opah,Lampridae,pelagic,species,"13","4","32","0.295","0.127","0.889","0.148","0.055","0.397","21.3","16.9","24.1","21.5","7.0","69.8","9.27","1.00","83.81","0.245","0.123","0.529"
Lamprogrammus brunswigi,,Ophidiidae,pelagic,genus,"13.2","7.4","28.1","0.291","0.147","0.565","0.281","0.137","0.581","15.2","12.8","17.7","32.3","12.6","80.7","10.2","2.1","48.1","0.373","0.242","0.582"
Larimus breviceps,Shorthead drum,Sciaenidae,benthic,species,"177","103","341","1.15","0.62","2.00","0.248","0.133","0.412","19.1","18.0","20.1","49.5","27.5","92.7","20.4","8.2","54.9","1.45","1.06","2.05"
